Date,Close
2022-07-13,145.49
2022-07-14,148.47
2022-07-15,150.17
2022-07-18,147.07
2022-07-19,151
2022-07-20,153.04
2022-07-21,155.35
2022-07-22,154.09
2022-07-25,152.95
2022-07-26,151.6
2022-07-27,156.79
2022-07-28,157.35
2022-07-29,162.51
2022-08-01,161.51
2022-08-02,160.01
2022-08-03,166.13
2022-08-04,165.81
2022-08-05,165.35
2022-08-08,164.87
2022-08-09,164.92
2022-08-10,169.24
2022-08-11,168.49
2022-08-12,172.1
2022-08-15,173.19
2022-08-16,173.03
2022-08-17,174.55
2022-08-18,174.15
2022-08-19,171.52
2022-08-22,167.57
2022-08-23,167.23
2022-08-24,167.53
2022-08-25,170.03
2022-08-26,163.62
2022-08-29,161.38
2022-08-30,158.91
2022-08-31,157.22
2022-09-01,157.96
2022-09-02,155.81
2022-09-06,154.53
2022-09-07,155.96
2022-09-08,154.46
2022-09-09,157.37
2022-09-12,163.43
2022-09-13,153.84
2022-09-14,155.31
2022-09-15,152.37
2022-09-16,150.7
2022-09-19,154.48
2022-09-20,156.9
2022-09-21,153.72
2022-09-22,152.74
2022-09-23,150.43
2022-09-26,150.77
2022-09-27,151.76
2022-09-28,149.84
2022-09-29,142.48
2022-09-30,138.2
2022-10-03,142.45
2022-10-04,146.1
2022-10-05,146.4
2022-10-06,145.43
2022-10-07,140.09
2022-10-10,140.42
2022-10-11,138.98
2022-10-12,138.34
2022-10-13,142.99
2022-10-14,138.38
2022-10-17,142.41
2022-10-18,143.75
2022-10-19,143.86
2022-10-20,143.39
2022-10-21,147.27
2022-10-24,149.45
2022-10-25,152.34
2022-10-26,149.35
2022-10-27,144.8
2022-10-28,155.74
2022-10-31,153.34
2022-11-01,150.65
2022-11-02,145.03
2022-11-03,138.88
2022-11-04,138.38
2022-11-07,138.92
2022-11-08,139.5
2022-11-09,134.87
2022-11-10,146.87
2022-11-11,149.7
2022-11-14,148.28
2022-11-15,150.04
2022-11-16,148.79
2022-11-17,150.72
2022-11-18,151.29
2022-11-21,148.01
2022-11-22,150.18
2022-11-23,151.07
2022-11-25,148.11
2022-11-28,144.22
2022-11-29,141.17
2022-11-30,148.03
2022-12-01,148.31
2022-12-02,147.81
2022-12-05,146.63
2022-12-06,142.91
2022-12-07,140.94
2022-12-08,142.65
2022-12-09,142.16
2022-12-12,144.49
2022-12-13,145.47
2022-12-14,143.21
2022-12-15,136.5
2022-12-16,134.51
2022-12-19,132.37
2022-12-20,132.3
2022-12-21,135.45
2022-12-22,132.23
2022-12-23,131.86
2022-12-27,130.03
2022-12-28,126.04
2022-12-29,129.61
2022-12-30,129.93
2023-01-03,125.07
2023-01-04,126.36
2023-01-05,125.02
2023-01-06,129.62
2023-01-09,130.15
2023-01-10,130.73
2023-01-11,133.49
2023-01-12,133.41
2023-01-13,134.76
2023-01-17,135.94
2023-01-18,135.21
2023-01-19,135.27
2023-01-20,137.87
2023-01-23,141.11
2023-01-24,142.53
2023-01-25,141.86
2023-01-26,143.96
2023-01-27,145.93
2023-01-30,143
2023-01-31,144.29
2023-02-01,145.43
2023-02-02,150.82
2023-02-03,154.5
2023-02-06,151.73
2023-02-07,154.65
2023-02-08,151.92
2023-02-09,150.87
2023-02-10,151.01
2023-02-13,153.85
2023-02-14,153.2
2023-02-15,155.33
2023-02-16,153.71
2023-02-17,152.55
2023-02-21,148.48
2023-02-22,148.91
2023-02-23,149.4
2023-02-24,146.71
2023-02-27,147.92
2023-02-28,147.41
2023-03-01,145.31
2023-03-02,145.91
2023-03-03,151.03
2023-03-06,153.83
2023-03-07,151.6
2023-03-08,152.87
2023-03-09,150.59
2023-03-10,148.5
2023-03-13,150.47
2023-03-14,152.59
2023-03-15,152.99
2023-03-16,155.85
2023-03-17,155
2023-03-20,157.4
2023-03-21,159.28
2023-03-22,157.83
2023-03-23,158.93
2023-03-24,160.25
2023-03-27,158.28
2023-03-28,157.65
2023-03-29,160.77
2023-03-30,162.36
2023-03-31,164.9
2023-04-03,166.17
2023-04-04,165.63
2023-04-05,163.76
2023-04-06,164.66
2023-04-10,162.03
2023-04-11,160.8
2023-04-12,160.1
2023-04-13,165.56
2023-04-14,165.21
2023-04-17,165.23
2023-04-18,166.47
2023-04-19,167.63
2023-04-20,166.65
2023-04-21,165.02
2023-04-24,165.33
2023-04-25,163.77
2023-04-26,163.76
2023-04-27,168.41
2023-04-28,169.68
2023-05-01,169.59
2023-05-02,168.54
2023-05-03,167.45
2023-05-04,165.79
2023-05-05,173.57
2023-05-08,173.5
2023-05-09,171.77
2023-05-10,173.555
2023-05-11,173.75
2023-05-12,172.57
2023-05-15,172.07
2023-05-16,172.07
2023-05-17,172.69
2023-05-18,175.05
2023-05-19,175.16
2023-05-22,174.2
2023-05-23,171.56
2023-05-24,171.84
2023-05-25,172.99
2023-05-26,175.43
2023-05-30,177.3
2023-05-31,177.25
2023-06-01,180.09
2023-06-02,180.95
2023-06-05,179.58
2023-06-06,179.21
2023-06-07,177.82
2023-06-08,180.57
2023-06-09,180.96
2023-06-12,183.79
2023-06-13,183.31
2023-06-14,183.95
2023-06-15,186.01
2023-06-16,184.92
2023-06-20,185.01
2023-06-21,183.96
2023-06-22,187
2023-06-23,186.68
2023-06-26,185.27
2023-06-27,188.06
2023-06-28,189.25
2023-06-29,189.59
2023-06-30,193.97
2023-07-03,192.46
2023-07-05,191.33
2023-07-06,191.81
2023-07-07,190.68
2023-07-10,188.61
2023-07-11,188.08
2023-07-12,189.77
2023-07-13,190.54
2023-07-14,190.69
2023-07-17,193.99
2023-07-18,193.73
2023-07-19,195.1
2023-07-20,193.13
2023-07-21,191.94
2023-07-24,192.75
2023-07-25,193.62
2023-07-26,194.5
2023-07-27,193.22
2023-07-28,195.83
2023-07-31,196.45
2023-08-01,195.605
2023-08-02,192.58
2023-08-03,191.17
2023-08-04,181.99
2023-08-07,178.85
2023-08-08,179.8
2023-08-09,178.19
2023-08-10,177.97
2023-08-11,177.79
2023-08-14,179.46
2023-08-15,177.45
2023-08-16,176.57
2023-08-17,174
2023-08-18,174.49
2023-08-21,175.84
2023-08-22,177.23
2023-08-23,181.12
2023-08-24,176.38
2023-08-25,178.61
2023-08-28,180.19
2023-08-29,184.12
2023-08-30,187.65
2023-08-31,187.87
2023-09-01,189.46
2023-09-05,189.7
2023-09-06,182.91
2023-09-07,177.56
2023-09-08,178.18
2023-09-11,179.36
2023-09-12,176.3
2023-09-13,174.21
2023-09-14,175.74
2023-09-15,175.01
2023-09-18,177.97
2023-09-19,179.07
2023-09-20,175.49
2023-09-21,173.93
2023-09-22,174.79
2023-09-25,176.08
2023-09-26,171.96
2023-09-27,170.43
2023-09-28,170.69
2023-09-29,171.21
2023-10-02,173.75
2023-10-03,172.4
2023-10-04,173.66
2023-10-05,174.91
2023-10-06,177.49
2023-10-09,178.99
2023-10-10,178.39
2023-10-11,179.8
2023-10-12,180.71
2023-10-13,178.85
2023-10-16,178.72
2023-10-17,177.15
2023-10-18,175.84
2023-10-19,175.46
2023-10-20,172.88
2023-10-23,173
2023-10-24,173.44
2023-10-25,171.1
2023-10-26,166.89
2023-10-27,168.22
2023-10-30,170.29
2023-10-31,170.77
2023-11-01,173.97
2023-11-02,177.57
2023-11-03,176.65
2023-11-06,179.23
2023-11-07,181.82
2023-11-08,182.89
2023-11-09,182.41
2023-11-10,186.4
2023-11-13,184.8
2023-11-14,187.44
2023-11-15,188.01
2023-11-16,189.71
2023-11-17,189.69
2023-11-20,191.45
2023-11-21,190.64
2023-11-22,191.31
2023-11-24,189.97
2023-11-27,189.79
2023-11-28,190.4
2023-11-29,189.37
2023-11-30,189.95
2023-12-01,191.24
2023-12-04,189.43
2023-12-05,193.42
2023-12-06,192.32
2023-12-07,194.27
2023-12-08,195.71
2023-12-11,193.18
2023-12-12,194.71
2023-12-13,197.96
2023-12-14,198.11
2023-12-15,197.57
2023-12-18,195.89
2023-12-19,196.94
2023-12-20,194.83
2023-12-21,194.68
2023-12-22,193.6
2023-12-26,193.05
2023-12-27,193.15
2023-12-28,193.58
